epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6008,1.11728,3.15375,1.48192,0.4979,0.74333,0.67734,0.49469,0.88723,3.818,1.26574,0.00015554,0.00015554,0.00015554
2,15.8097,0.9291,1.71908,1.29957,0.5113,0.65952,0.66679,0.44931,1.05162,1.75708,1.46269,0.000314216,0.000314216,0.000314216
3,19.8827,0.92132,1.29898,1.25287,0.59143,0.71682,0.68748,0.40088,1.17211,2.2379,1.56052,0.000464642,0.000464642,0.000464642
4,24.8857,1.0154,1.28096,1.34628,0.53644,0.46207,0.52574,0.37685,1.01002,2.338,1.58544,0.00060682,0.00060682,0.00060682
5,28.6379,1.00248,1.22118,1.29319,0.28034,0.59167,0.49006,0.26474,1.4434,3.55891,2.42885,0.000740748,0.000740748,0.000740748
6,32.6421,1.03138,1.13736,1.30519,0.44189,0.55476,0.47412,0.27349,1.51487,2.18846,2.22134,0.000866427,0.000866427,0.000866427
7,37.0233,1.06244,1.23757,1.35398,0.2186,0.57214,0.50374,0.25421,1.40531,2.43569,1.98858,0.000946016,0.000946016,0.000946016
8,40.94,0.93682,1.5249,1.19837,0.78946,0.37976,0.36079,0.20438,1.49059,2.64532,2.06819,0.000918519,0.000918519,0.000918519
9,44.7677,1.06177,1.30177,1.40674,0.63362,0.65364,0.62713,0.38446,1.47669,5.10189,2.13674,0.000891022,0.000891022,0.000891022
10,49.0947,0.99697,1.09472,1.28939,0.52414,0.68355,0.58092,0.25714,2.01647,4.37325,2.51798,0.000863525,0.000863525,0.000863525
11,53.3436,1.05754,1.06826,1.33768,0.59179,0.43901,0.54951,0.26728,1.47836,2.64135,2.29522,0.000836027,0.000836027,0.000836027
12,57.2222,1.05789,1.01394,1.33238,0.5552,0.5977,0.59628,0.33515,1.65812,1.70038,2.23482,0.00080853,0.00080853,0.00080853
13,61.3775,0.98779,1.04058,1.27905,0.49504,0.64449,0.62251,0.33045,1.62572,1.8091,2.23395,0.000781033,0.000781033,0.000781033
14,65.6212,1.06851,1.26449,1.37451,0.58993,0.67014,0.70235,0.47315,1.19367,1.16601,1.63319,0.000753536,0.000753536,0.000753536
15,69.5202,0.97261,0.85843,1.2744,0.73628,0.84643,0.89293,0.57403,1.02768,1.02192,1.36923,0.000726038,0.000726038,0.000726038
16,73.6267,0.90535,0.83748,1.21033,0.57349,0.70436,0.73749,0.54155,0.97427,0.99169,1.35294,0.000698541,0.000698541,0.000698541
17,78.3928,0.88126,0.82925,1.20934,0.67665,0.8568,0.85754,0.64866,0.93798,1.06382,1.26053,0.000671044,0.000671044,0.000671044
18,82.1562,1.00112,0.89663,1.37025,0.92547,0.90076,0.96948,0.71562,0.95389,0.72933,1.30275,0.000643547,0.000643547,0.000643547
19,86.2673,0.93034,0.91381,1.21606,0.76264,0.92562,0.96018,0.6669,1.07806,0.84374,1.46411,0.000616049,0.000616049,0.000616049
20,90.8531,0.85339,0.87834,1.1787,0.93345,0.9295,0.95777,0.70865,0.94641,0.59977,1.29553,0.000588552,0.000588552,0.000588552
21,94.6283,0.90008,1.24114,1.24623,0.80271,0.92559,0.95724,0.63585,1.08243,0.74067,1.38126,0.000561055,0.000561055,0.000561055
22,98.5385,0.82783,1.08503,1.22985,0.71972,0.86872,0.90476,0.60452,1.05163,0.9555,1.35878,0.000533558,0.000533558,0.000533558
23,103.6,0.8989,0.90764,1.30998,0.93384,0.91179,0.95871,0.70996,0.94835,0.71821,1.24367,0.00050606,0.00050606,0.00050606
